Id,Sales
1,4340.304785352635
2,6954.555214794378
3,8794.175865635552
4,7147.383212255723
5,7092.324303059498
6,5587.237512747374
7,7619.415786145696
8,7603.7391279692
9,5103.428585247757
10,5774.945933618943
11,6735.855604988987
12,7956.766915473964
13,6807.571660436277
14,9065.531717388481
15,5655.952861782774
16,4702.285318718721
17,5616.117106183125
18,9318.830783712005
19,10770.477281227431
20,9326.722359007623
21,7802.994074433583
22,4787.723788208629
23,5832.924084164794
24,4339.559687057984
25,7920.522821268756
26,10004.986071359466
27,8993.175531554665
28,5684.474996248269
29,5142.56348767219
30,4407.35351991089
31,6020.1241623444985
32,10200.381569824513
33,6468.487568813619
34,5367.8807968863675
35,5403.137072593694
36,7554.9806907918655
37,3793.0083224090567
38,6994.793542379777
39,4316.000237213821
40,6562.791147700904
41,6620.853928968399
42,5341.636893159388
43,7672.047461484802
44,6791.864622529968
45,4717.87815585865
46,6787.645059258179
47,6963.791899067138
48,11146.326276562344
49,6217.785173338069
50,8039.132585397861
51,6888.284918117171
52,9082.61852552252
53,6402.166430219153
54,8879.15856023614
55,4638.324939303471
56,5159.538628819288
57,6173.75323019174
58,6018.473706251441
59,8711.245572140233
60,7533.467572470028
61,5424.2187435990945
62,7486.04640021603
63,6578.457716814033
64,9568.508676857451
65,3874.8426022202643
66,12990.143529995197
67,4876.60740178178
68,5982.281250840853
69,8108.019527465083
70,4890.036351631787
71,6167.373334694815
72,6080.298714590883
73,7201.508198978002
74,5330.139009384743
75,5473.465277285482
76,7685.406482334823
77,7468.2677907409125
78,6740.687230247239
79,5088.176929475623
80,7204.189098886451
81,11644.25095744336
82,6332.874584426525
83,4284.408482851194
84,6628.745273752802
85,5965.920065130488
86,5711.785099123002
87,7284.089880494327
88,4017.2212100645665
89,7618.899310156051
90,5966.506193055342
91,6987.652610530021
92,6156.142333332829
93,4174.495042881801
94,5749.618975375984
95,5101.699848268155
96,7810.1477622253315
97,8986.707608376699
98,5313.3332921068395
99,4920.363949518731
100,6180.824569015515
101,5884.860591988624
102,5830.642448167762
103,8274.83407327025
104,6625.785287690774
105,7559.1301270275
106,5612.434930475978
107,4599.62998773093
108,6327.991124920817
109,8021.940139990643
110,8170.0566485487
111,7961.123160022293
112,7726.149551637694
113,5773.371548313832
114,8441.482372097436
115,5588.388282117253
116,6716.301073952766
117,8983.615219072946
118,6683.652685796919
119,9616.569095866447
120,7935.149627561057
121,7275.665408675585
122,6014.076508332036
123,6907.3749062226325
124,7471.830082101355
125,6115.983922215247
126,3899.1195005395252
127,5298.099258006913
128,7647.383653556391
129,5402.592496234955
130,4916.112596629945
131,8422.470052356253
132,6546.909293597227
133,5809.163834477051
134,5605.291743167426
135,5530.011190762203
136,7063.125176816896
137,7228.1079070023525
138,6611.754285236234
139,5521.912123437426
140,4725.9346983697405
141,6434.351774229293
142,3747.6894201639548
143,6239.924186799788
144,4987.233410405216
145,8645.262239802742
146,7272.731066895905
147,6011.1272933969985
148,10362.851319493042
149,5052.39368357524
150,4915.967755044216
151,10180.478503023623
152,6485.796742190364
153,8247.69451813818
154,7507.155396075896
155,5615.653359413414
156,6403.283150248718
157,5443.214947531009
158,8453.007792188084
159,11051.81800914097
160,6116.838379129132
161,3307.1424350160637
162,4552.361436109004
163,8352.532004231523
164,8527.027991441173
165,6314.514863080048
